"2023-04-07T11:32:56.054Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:56.126Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:56.228Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:56.342Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:56.413Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:56.444Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:56.485Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:56.577Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:56.659Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:56.761Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:56.843Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:56.935Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:57.057Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:57.119Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:57.253Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:57.325Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:57.387Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:57.408Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:57.522Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:57.573Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:57.697Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:57.739Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:57.841Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:57.924Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:58.027Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:58.100Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:58.202Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:58.284Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:58.376Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:58.406Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:58.458Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:58.592Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:58.643Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:58.735Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:58.818Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:58.952Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:59.013Z","CAR","V2G CurrentDemandReq",""
