"2023-04-04T10:04:31.639Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:04:31.753Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:04:31.847Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:04:31.983Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:04:32.034Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:04:32.075Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:04:32.196Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:04:32.287Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:04:32.409Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:04:32.511Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:04:32.644Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:04:32.737Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:04:32.859Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:04:32.951Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:04:33.063Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:04:33.084Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:04:33.175Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:04:33.296Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:04:33.388Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:04:33.509Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:04:33.611Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:04:33.733Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:04:33.867Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:04:33.960Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:04:34.042Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:04:34.063Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:04:34.185Z","CAR","V2G CurrentDemandReq",""
